promoter_id n_TSS k_means frac_in_k_mean total_reads
2959 3 106.07;145.19;41.15 0.55;0.15;0.31 110
2960 3 105.76;41.11;148.80 0.59;0.29;0.11 180
2962 1 119.00 1.00 9
2964 0 73 1 1
2967 1 153.88 1.00 42
2979 1 129.18 1.00 11
2980 1 128.20 1.00 25
2981 2 111.00;76.00 0.67;0.33 6
2987 1 119.00 1.00 7
2988 0 121 1 1
2991 2 118.00;67.00 0.29;0.71 7
2992 1 151.25 1.00 4
2995 1 141.00 1.00 2
2996 0 102 1 1
2998 2 138.40;130.08 0.29;0.71 35
2999 1 138.00 1.00 6
3001 1 112.00 1.00 4
3002 1 79.00 1.00 2
3005 2 120.00;38.00 0.80;0.20 5
3014 2 146.00;136.00 0.43;0.57 14
3015 1 138.29 1.00 14
3016 1 135.50 1.00 8
3017 1 141.17 1.00 6
3018 2 160.00;142.00 0.53;0.47 19
3021 0 140 1 1
3028 1 99.12 1.00 17
3029 1 99.00 1.00 20
3034 1 69.39 1.00 109
3035 1 68.79 1.00 109
3039 1 137.00 1.00 7
3040 1 137.71 1.00 17
3045 1 25.82 1.00 44
3046 2 24.00;99.60 0.75;0.25 20
3047 3 108.00;95.00;129.20 0.19;0.33;0.48 21
3048 0 139 1 1
3049 1 161.00 1.00 3
3050 1 154.00 1.00 3
3053 2 127.60;164.00 0.71;0.29 14
3054 2 126.94;100.00 0.77;0.23 22
3058 0 91 1 1
3059 1 102.00 1.00 7
3065 1 147.00 1.00 11
3066 2 102.20;20.00 0.77;0.23 13
